From,To,Species,Gene Name
FBgn0052368,317997,Drosophila melanogaster,CG32368 gene product from transcript CG32368-RA(CG32368)
FBgn0053207,41899,Drosophila melanogaster,CG33207 gene product from transcript CG33207-RC(pxb)
FBgn0266413,19835086,Drosophila melanogaster,ncRNA(CR45053)
FBgn0266416,19835533,Drosophila melanogaster,ncRNA(CR45056)
FBgn0053474,2768725,Drosophila melanogaster,CG33474 gene product from transcript CG33474-RA(CG33474)
FBgn0035120,38044,Drosophila melanogaster,wee Augmin(wac)
FBgn0002069,36420,Drosophila melanogaster,Aspartyl-tRNA synthetase(Aats-asp)
FBgn0035815,38868,Drosophila melanogaster,Sensory neuron membrane protein 2(Snmp2)
FBgn0261108,40998,Drosophila melanogaster,Autophagy-related 13(Atg13)
FBgn0034162,36891,Drosophila melanogaster,CG6426 gene product from transcript CG6426-RA(CG6426)
FBgn0030293,32077,Drosophila melanogaster,CG1737 gene product from transcript CG1737-RB(CG1737)
FBgn0026593,48422,Drosophila melanogaster,CG5707 gene product from transcript CG5707-RA(CG5707)
FBgn0034974,37856,Drosophila melanogaster,CG16786 gene product from transcript CG16786-RC(CG16786)
FBgn0032726,35152,Drosophila melanogaster,CG10621 gene product from transcript CG10621-RA(CG10621)
FBgn0015040,37941,Drosophila melanogaster,Cytochrome P450-9c1(Cyp9c1)
FBgn0035401,38374,Drosophila melanogaster,CG1291 gene product from transcript CG1291-RA(CG1291)
FBgn0030090,31843,Drosophila melanogaster,forked end(fend)
FBgn0035806,38858,Drosophila melanogaster,CG7496 gene product from transcript CG7496-RA(PGRP-SD)
FBgn0261111,38793,Drosophila melanogaster,Birt-Hogg-Dube homolog(BHD)
FBgn0036262,39391,Drosophila melanogaster,CG6910 gene product from transcript CG6910-RC(CG6910)
FBgn0038354,41901,Drosophila melanogaster,CG5404 gene product from transcript CG5404-RA(CG5404)
FBgn0034356,37130,Drosophila melanogaster,CG10924 gene product from transcript CG10924-RA(CG10924)
FBgn0034988,37875,Drosophila melanogaster,cytosolic 5'-nucleotidase IIIB(cN-IIIB)
FBgn0259933,8674033,Drosophila melanogaster,CG42456 gene product from transcript CG42456-RA(CG42456)
FBgn0023212,42435,Drosophila melanogaster,Elongin B(EloB)
FBgn0250862,32261,Drosophila melanogaster,CG42237 gene product from transcript CG42237-RB(CG42237)
FBgn0266626,19835075,Drosophila melanogaster,ncRNA(CR45133)
